fromNode	toNode	weight	direction	fromAltName	toAltName
Trpgamma	SIFaR	0.0719289128286764	undirected	NA	NA
Trpgamma	beat-Ib	0.0609216460080356	undirected	NA	NA
Trpgamma	CG43373	0.0357238914800773	undirected	NA	NA
Trpgamma	CG42747	0.0632561439784257	undirected	NA	NA
Trpgamma	CG13054	0.0663072916884751	undirected	NA	NA
Trpgamma	Hs6st	0.052146103214414	undirected	NA	NA
Trpgamma	Hey	0.106210814414021	undirected	NA	NA
Trpgamma	Tnks	0.0697029862385345	undirected	NA	NA
Trpgamma	CG12912	0.0910792502860293	undirected	NA	NA
Trpgamma	Hr46	0.0882765678977766	undirected	NA	NA
Trpgamma	CG15098	0.0485789330536036	undirected	NA	NA
Trpgamma	CG13344	0.0654692653960076	undirected	NA	NA
Trpgamma	CenG1A	0.0405470073394242	undirected	NA	NA
Trpgamma	CG42837	0.0473338172302864	undirected	NA	NA
Trpgamma	CG13920	0.058286834531125	undirected	NA	NA
Trpgamma	slim	0.0495980151777637	undirected	NA	NA
Trpgamma	rdx	0.06362409876916	undirected	NA	NA
Trpgamma	TM9SF3	0.0297527620514558	undirected	NA	NA
Trpgamma	CG9915	0.0321399107728856	undirected	NA	NA
Trpgamma	CG44243	0.0531167943296921	undirected	NA	NA
Trpgamma	CG5022	0.0235332441155955	undirected	NA	NA
Trpgamma	CG1657	0.0380207785205782	undirected	NA	NA
Trpgamma	Cul4	0.0317070822752766	undirected	NA	NA
Trpgamma	CG13204	0.0424782820424319	undirected	NA	NA
Trpgamma	Sc2	0.0290684181690157	undirected	NA	NA
Trpgamma	Swip-1	0.036567136291268	undirected	NA	NA
Trpgamma	CG14234	0.0283255837060175	undirected	NA	NA
Trpgamma	CG42238	0.0546251956000988	undirected	NA	NA
Trpgamma	RabX4	0.0494274372304013	undirected	NA	NA
Trpgamma	RN-tre	0.0301550215904936	undirected	NA	NA
Trpgamma	cl	0.0268966935178365	undirected	NA	NA
Trpgamma	e(r)	0.0330752478903184	undirected	NA	NA
Trpgamma	fl(2)d	0.0386765506743692	undirected	NA	NA
Trpgamma	GCS2alpha	0.0450350917542316	undirected	NA	NA
SIFaR	beat-Ib	0.0777696990605455	undirected	NA	NA
SIFaR	CG43373	0.0342811351340329	undirected	NA	NA
SIFaR	CG42747	0.0478330095329022	undirected	NA	NA
SIFaR	CG13054	0.104615182700841	undirected	NA	NA
SIFaR	Hs6st	0.066239785242544	undirected	NA	NA
SIFaR	Hey	0.109913467047731	undirected	NA	NA
